Plate ID,Well Location,Sample ID,Customer Sample Name (optional),Subject Barcode (optional),Comments (optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,B10,P01B10S000074,BR-23GS-C4-010-05,Seedling.23.BR-23GS-C4-010-05_83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,B11,P01B11S000082,BR-23GS-C4-012-01,Seedling.23.BR-23GS-C4-012-01_84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,B12,P01B12S000090,BR-23GS-C4-012-02,Seedling.23.BR-23GS-C4-012-02_85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,C01,P01C01S000003,BR-23GS-C4-012-03,Seedling.23.BR-23GS-C4-012-03_86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,C02,P01C02S000011,BR-23GS-C4-012-04,Seedling.23.BR-23GS-C4-012-04_87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,C03,P01C03S000019,BR-23GS-C4-012-05,Seedling.23.BR-23GS-C4-012-05_88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,C04,P01C04S000027,BR-23GS-C4-012-06,Seedling.23.BR-23GS-C4-012-06_89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,C05,P01C05S000035,BR-23GS-C4-012-07,Seedling.23.BR-23GS-C4-012-07_90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,C06,P01C06S000043,BR-23GS-C4-014-01,Seedling.23.BR-23GS-C4-014-01_92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,C07,P01C07S000051,BR-23GS-C4-014-02,Seedling.23.BR-23GS-C4-014-02_93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,C08,P01C08S000059,BR-23GS-C4-015-01,Seedling.23.BR-23GS-C4-015-01_98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,C09,P01C09S000067,BR-23GS-C4-015-02,Seedling.23.BR-23GS-C4-015-02_99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,C10,P01C10S000075,BR-23GS-C4-015-03,Seedling.23.BR-23GS-C4-015-03_100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,C11,P01C11S000083,BR-23GS-C4-015-04,Seedling.23.BR-23GS-C4-015-04_101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,C12,P01C12S000091,BR-23GS-C4-015-05,Seedling.23.BR-23GS-C4-015-05_102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,D01,P01D01S000004,BR-23GS-C4-017-02,Seedling.23.BR-23GS-C4-017-02_108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,D02,P01D02S000012,BR-23GS-C4-017-03,Seedling.23.BR-23GS-C4-017-03_109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,D03,P01D03S000020,BR-23GS-C4-017-04,Seedling.23.BR-23GS-C4-017-04_110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,D04,P01D04S000028,BR-23GS-C4-017-05,Seedling.23.BR-23GS-C4-017-05_111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,D05,P01D05S000036,BR-23GS-C4-017-06,Seedling.23.BR-23GS-C4-017-06_112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,D06,P01D06S000044,BR-23GS-C4-017-07,Seedling.23.BR-23GS-C4-017-07_113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,D07,P01D07S000052,BR-23GS-C4-017-08,Seedling.23.BR-23GS-C4-017-08_114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,D08,P01D08S000060,BR-23GS-C4-017-09,Seedling.23.BR-23GS-C4-017-09_115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,D09,P01D09S000068,BR-23GS-C4-017-10,Seedling.23.BR-23GS-C4-017-10_116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,D10,P01D10S000076,BR-23GS-C4-017-11,Seedling.23.BR-23GS-C4-017-11_117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,D11,P01D11S000084,BR-23GS-C4-017-12,Seedling.23.BR-23GS-C4-017-12_118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,D12,P01D12S000092,BR-23GS-C4-017-13,Seedling.23.BR-23GS-C4-017-13_119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,E01,P01E01S000005,BR-23GS-C4-017-14,Seedling.23.BR-23GS-C4-017-14_120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,E02,P01E02S000013,BR-23GS-C4-017-15,Seedling.23.BR-23GS-C4-017-15_121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,E03,P01E03S000021,BR-23GS-C4-017-16,Seedling.23.BR-23GS-C4-017-16_122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,E04,P01E04S000029,BR-23GS-C4-017-17,Seedling.23.BR-23GS-C4-017-17_123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,E05,P01E05S000037,BR-23GS-C4-017-18,Seedling.23.BR-23GS-C4-017-18_124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,E06,P01E06S000045,BR-23GS-C4-017-19,Seedling.23.BR-23GS-C4-017-19_125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,E07,P01E07S000053,BR-23GS-C4-018-02,Seedling.23.BR-23GS-C4-018-02_136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,E08,P01E08S000061,BR-23GS-C4-018-03,Seedling.23.BR-23GS-C4-018-03_137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,E09,P01E09S000069,BR-23GS-C4-019-02,Seedling.23.BR-23GS-C4-019-02_141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,E10,P01E10S000077,BR-23GS-C4-019-03,Seedling.23.BR-23GS-C4-019-03_142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,E11,P01E11S000085,BR-23GS-C4-019-04,Seedling.23.BR-23GS-C4-019-04_143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,E12,P01E12S000093,BR-23GS-C4-019-05,Seedling.23.BR-23GS-C4-019-05_144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,F01,P01F01S000006,BR-23GS-C4-019-06,Seedling.23.BR-23GS-C4-019-06_145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,F02,P01F02S000014,BR-23GS-C4-019-07,Seedling.23.BR-23GS-C4-019-07_146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,F03,P01F03S000022,BR-23GS-C4-019-08,Seedling.23.BR-23GS-C4-019-08_147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,F04,P01F04S000030,BR-23GS-C4-019-09,Seedling.23.BR-23GS-C4-019-09_148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,F05,P01F05S000038,BR-23GS-C4-019-10,Seedling.23.BR-23GS-C4-019-10_149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,F06,P01F06S000046,BR-23GS-C4-019-11,Seedling.23.BR-23GS-C4-019-11_150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,F07,P01F07S000054,BR-23GS-C4-019-12,Seedling.23.BR-23GS-C4-019-12_151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,F08,P01F08S000062,BR-23GS-C4-019-13,Seedling.23.BR-23GS-C4-019-13_152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,F09,P01F09S000070,BR-23GS-C4-019-14,Seedling.23.BR-23GS-C4-019-14_153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,F10,P01F10S000078,BR-23GS-C4-019-15,Seedling.23.BR-23GS-C4-019-15_154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,F11,P01F11S000086,BR-23GS-C4-019-16,Seedling.23.BR-23GS-C4-019-16_155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,F12,P01F12S000094,BR-23GS-C4-019-17,Seedling.23.BR-23GS-C4-019-17_156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,G01,P01G01S000007,BR-23GS-C4-019-18,Seedling.23.BR-23GS-C4-019-18_157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,G02,P01G02S000015,BR-23GS-C4-019-19,Seedling.23.BR-23GS-C4-019-19_158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,G03,P01G03S000023,BR-23GS-C4-019-20,Seedling.23.BR-23GS-C4-019-20_159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,G04,P01G04S000031,BR-23GS-C4-019-21,Seedling.23.BR-23GS-C4-019-21_160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,G05,P01G05S000039,BR-23GS-C4-019-22,Seedling.23.BR-23GS-C4-019-22_161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,G06,P01G06S000047,BR-23GS-C4-019-23,Seedling.23.BR-23GS-C4-019-23_162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,G07,P01G07S000055,BR-23GS-C4-019-24,Seedling.23.BR-23GS-C4-019-24_163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,G08,P01G08S000063,BR-23GS-C4-019-25,Seedling.23.BR-23GS-C4-019-25_164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,G09,P01G09S000071,BR-23GS-C4-019-26,Seedling.23.BR-23GS-C4-019-26_165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,G10,P01G10S000079,BR-23GS-C4-019-27,Seedling.23.BR-23GS-C4-019-27_166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,G11,P01G11S000087,BR-23GS-C4-019-28,Seedling.23.BR-23GS-C4-019-28_167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,G12,P01G12S000095,BLANK,BLANK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,H01,P01H01S000008,BR-23GS-C4-020-01,Seedling.23.BR-23GS-C4-020-01_198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,H02,P01H02S000016,BR-23GS-C4-020-02,Seedling.23.BR-23GS-C4-020-02_199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,H03,P01H03S000024,BR-23GS-C4-020-03,Seedling.23.BR-23GS-C4-020-03_200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,H04,P01H04S000032,BR-23GS-C4-020-04,Seedling.23.BR-23GS-C4-020-04_201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,H05,P01H05S000040,BR-23GS-C4-021-01,Seedling.23.BR-23GS-C4-021-01_202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,H06,P01H06S000048,BR-23GS-C4-021-02,Seedling.23.BR-23GS-C4-021-02_203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,H07,P01H07S000056,BR-23GS-C4-021-03,Seedling.23.BR-23GS-C4-021-03_204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,H08,P01H08S000064,BR-23GS-C4-021-04,Seedling.23.BR-23GS-C4-021-04_205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,H09,P01H09S000072,BR-23GS-C4-021-05,Seedling.23.BR-23GS-C4-021-05_206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,H10,P01H10S000080,BR-23GS-C4-025-01,Seedling.23.BR-23GS-C4-025-01_226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,H11,P01H11S000088,BR-23GS-C4-025-02,Seedling.23.BR-23GS-C4-025-02_227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,H12,P01H12S000096,BLANK,BLANK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,A01,P02A01S000001,BR-23GS-C4-025-03,Seedling.23.BR-23GS-C4-025-03_228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,A02,P02A02S000009,BR-23GS-C4-025-04,Seedling.23.BR-23GS-C4-025-04_229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,A03,P02A03S000017,BR-23GS-C4-025-05,Seedling.23.BR-23GS-C4-025-05_230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,A04,P02A04S000025,BR-23GS-C4-025-06,Seedling.23.BR-23GS-C4-025-06_231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,A05,P02A05S000033,BR-23GS-C4-026-01,Seedling.23.BR-23GS-C4-026-01_243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,A06,P02A06S000041,BR-23GS-C4-026-02,Seedling.23.BR-23GS-C4-026-02_244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,A07,P02A07S000049,BR-23GS-C4-026-03,Seedling.23.BR-23GS-C4-026-03_245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,A08,P02A08S000057,BR-23GS-C4-027-01,Seedling.23.BR-23GS-C4-027-01_248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,A09,P02A09S000065,BR-23GS-C4-027-02,Seedling.23.BR-23GS-C4-027-02_249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,A10,P02A10S000073,BR-23GS-C4-027-03,Seedling.23.BR-23GS-C4-027-03_250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,A11,P02A11S000081,BR-23GS-C4-028-01,Seedling.23.BR-23GS-C4-028-01_254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,A12,P02A12S000089,BR-23GS-C4-028-02,Seedling.23.BR-23GS-C4-028-02_255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,B01,P02B01S000002,BR-23GS-C4-028-04,Seedling.23.BR-23GS-C4-028-04_257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,B02,P02B02S000010,BR-23GS-C4-029-01,Seedling.23.BR-23GS-C4-029-01_267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,B03,P02B03S000018,BR-23GS-C4-030-01,Seedling.23.BR-23GS-C4-030-01_270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,B04,P02B04S000026,BR-23GS-C4-030-02,Seedling.23.BR-23GS-C4-030-02_271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,B05,P02B05S000034,BR-23GS-C4-031-01,Seedling.23.BR-23GS-C4-031-01_274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,B06,P02B06S000042,BR-23GS-C4-031-02,Seedling.23.BR-23GS-C4-031-02_275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,B07,P02B07S000050,BR-23GS-C4-032-01,Seedling.23.BR-23GS-C4-032-01_281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,B08,P02B08S000058,BR-23GS-C4-032-02,Seedling.23.BR-23GS-C4-032-02_282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,B09,P02B09S000066,BR-23GS-C4-032-03,Seedling.23.BR-23GS-C4-032-03_283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,B10,P02B10S000074,BR-23GS-C4-032-04,Seedling.23.BR-23GS-C4-032-04_284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,B11,P02B11S000082,BR-23GS-C4-033-01,Seedling.23.BR-23GS-C4-033-01_288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,B12,P02B12S000090,BR-23GS-C4-033-02,Seedling.23.BR-23GS-C4-033-02_289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,C01,P02C01S000003,BR-23GS-C4-037-01,Seedling.23.BR-23GS-C4-037-01_291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,C02,P02C02S000011,BR-23GS-C4-037-02,Seedling.23.BR-23GS-C4-037-02_292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,C03,P02C03S000019,BR-23GS-C4-037-04,Seedling.23.BR-23GS-C4-037-04_294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,C04,P02C04S000027,BR-23GS-C4-037-05,Seedling.23.BR-23GS-C4-037-05_295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,C05,P02C05S000035,BR-23GS-C4-037-06,Seedling.23.BR-23GS-C4-037-06_296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,C06,P02C06S000043,BR-23GS-C4-037-07,Seedling.23.BR-23GS-C4-037-07_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,C07,P02C07S000051,BR-23GS-C4-037-08,Seedling.23.BR-23GS-C4-037-08_298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,C08,P02C08S000059,BR-23GS-C4-038-01,Seedling.23.BR-23GS-C4-038-01_302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,C09,P02C09S000067,BR-23GS-C4-038-02,Seedling.23.BR-23GS-C4-038-02_303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,C10,P02C10S000075,BR-23GS-C4-038-03,Seedling.23.BR-23GS-C4-038-03_304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,C11,P02C11S000083,BR-23GS-C4-043-01,Seedling.23.BR-23GS-C4-043-01_311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,C12,P02C12S000091,BR-23GS-C4-045-01,Seedling.23.BR-23GS-C4-045-01_314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,D01,P02D01S000004,BR-23GS-C4-046-01,Seedling.23.BR-23GS-C4-046-01_322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,D02,P02D02S000012,BR-23GS-C4-047-02,Seedling.23.BR-23GS-C4-047-02_324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,D03,P02D03S000020,BR-23GS-C4-047-03,Seedling.23.BR-23GS-C4-047-03_325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,D04,P02D04S000028,BR-23GS-C4-047-04,Seedling.23.BR-23GS-C4-047-04_326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,D05,P02D05S000036,BR-23GS-C4-048-02,Seedling.23.BR-23GS-C4-048-02_330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,D06,P02D06S000044,BR-23GS-C4-048-03,Seedling.23.BR-23GS-C4-048-03_331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,D07,P02D07S000052,BR-23GS-C4-048-04,Seedling.23.BR-23GS-C4-048-04_332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P02,D08,P02D08S000060,BR-23GS-C4-048-05,Seedling.23.BR-23GS-C4-048-05_333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
